Object Name,Velocity(km/s),Redshift,Magnitude,Distance(Mpc)
NGC 4886:[WLQ2016] X0001,6446,0.021502,12.9,47.863009232263806
NGC 4900,963,0.003212,12.2,34.67368504525324
NGC 4914,4583,0.015287,12.49,39.627803425544016
NGC 4902,2625,0.008756,11.61,26.42408757321945
ESO 443- G 024,5109,0.017042,12.9,47.863009232263806
WISEA J130209.93+274851.2,13479,0.04496,14.2,87.09635899560814
ESO 219- G 021,1376,0.00459,13.28,57.01642722807478
NGC 4941,1114,0.003716,12.43,38.54783576657721
NGC 4939,3112,0.010381,11.9,30.199517204020133
NGC 4936,3117,0.010397,11.77,28.44461107447908
NGC 4945,563,0.001878,9.3,9.120108393559077
NGC 4958,1455,0.004853,12.11,33.26595532940047
NGC 4976,1453,0.004847,11.04,20.32357010936221
NGC 4984,1279,0.004266,12.25,35.481338923357534
NGC 4995,1744,0.005817,11.93,30.619634336906756
NGC 5005,946,0.003156,10.61,16.67247212551061
UGC 08266,11017,0.036748,14.5,100.0
NGC 5014,1135,0.003787,13.3,57.543993733715666
NGC 5012,2606,0.008694,12.8,45.708818961487424
NGC 5016,2611,0.008709,13.49,62.8058358813318
NGC 5023,407,0.001358,12.85,46.77351412871982
NGC 5011,3159,0.010537,12.41,38.194427084004566
NGC 5018,2816,0.009393,11.2,21.877616239495563
NGC 5033,873,0.002912,10.75,17.78279410038923
ESO 219- G 041,3487,0.011631,12.9,47.863009232263806
NGC 5026,3549,0.011838,12.48,39.44573020752793
NGC 5044,2782,0.00928,11.83,29.241523778433308
NGC 5042,1390,0.004637,12.75,44.668359215096345
MESSIER 063,500,0.001668,9.31,9.16220490122001
NGC 5054,1742,0.005811,10.8,18.197008586099827
IC 4214,2310,0.007705,12.16,34.04081897010002
NGC 5061,2082,0.006945,11.44,24.434305526939713
NGC 5068,670,0.002235,10.52,15.995580286146646
NGC 5064,2980,0.00994,12.9,47.863009232263806
NGC 5077,2806,0.00936,12.38,37.670379898390934
NGC 5078,2168,0.007232,11.77,28.44461107447908
NGC 5084,1721,0.005741,11.41,24.099054286865933
NGC 5085,1956,0.006525,12.97,49.43106869868354
NGC 5087,1858,0.006198,13.11,52.72298614228222
NGC 5090,3386,0.011294,12.57,41.114972110452214
NGC 5101,1868,0.006231,11.6,26.302679918953814
NGC 5102,468,0.001561,10.35,14.791083881682072
NGC 5121,1473,0.004913,11.51,25.2348077248057
NGC 5134,1758,0.005864,12.83,46.34469197362874
NGC 5128,547,0.001825,7.84,4.6558609352296
NGC 5140,3879,0.012939,12.77,45.081670454145915
NGC 5153,4321,0.014413,12.83,46.34469197362874
NGC 5156,2988,0.009967,12.49,39.627803425544016
NGC 5204,201,0.00067,11.73,27.92543841237342
NGC 5170,1501,0.005006,12.35,37.153522909717275
MESSIER 051a,460,0.001534,8.96,7.798301105232594
MESSIER 051b,455,0.001518,10.45,15.488166189124827
NGC 5188,2425,0.008089,12.96,49.20395356814511
NGC 5206,583,0.001945,11.6,26.302679918953814
ESO 270- G 017,828,0.002762,11.71,27.669416454115126
IC 4296,3737,0.012465,11.61,26.42408757321945
MESSIER 083,513,0.001711,8.2,5.4954087385762485
NGC 5248,1151,0.003839,10.97,19.67886289706843
NGC 5247,1356,0.004523,10.5,15.848931924611142
ESO 445- G 002,4339,0.014473,12.78,45.28975799036214
NGC 5253,407,0.001358,10.87,18.793168168032647
NGC 5273,1083,0.003611,12.5,39.81071705534969
NGC 5266,3002,0.010014,12.08,32.809529311311906
NGC 5297,2409,0.008036,12.47,39.26449353995993
NGC 5301,1508,0.00503,12.6,41.68693834703355
NGC 5308,1998,0.006665,12.31,36.4753946925608
NGC 5311,2654,0.008852,13.3,57.543993733715666
IC 4329,4539,0.01514,12.2,34.67368504525324
NGC 5322,1780,0.005937,11.14,21.281390459827133
ESO 383- G 087,326,0.001087,11.03,20.23019178678272
NGC 5324,3042,0.010147,12.55,40.73802778041122
NGC 5328,4740,0.015811,12.67,43.0526610491711
NGC 5350,2325,0.007755,12.15,33.884415613920204
NGC 5353,2325,0.007755,11.96,31.045595881283557
NGC 5354,2579,0.008603,12.33,36.81289736425313
NGC 5333,2752,0.00918,11.67,27.164392688390837
NGC 5371,2558,0.008533,11.32,23.12064790175594
NGC 5363,1139,0.003799,11.05,20.417379446695275
NGC 5364,1268,0.004228,11.17,21.57744409152669
NGC 5377,1796,0.005991,12.5,39.81071705534969
NGC 5383,2270,0.007572,12.0,31.622776601683793
NGC 5365,2467,0.008229,12.45,38.904514499428124
IC 4351,2674,0.008919,12.63,42.266861426560325
NGC 5395,3472,0.01158,12.8,45.708818961487424
MESSIER 101,241,0.000804,8.31,5.780960474057188
NGC 5408,506,0.001688,12.5,39.81071705534969
NGC 5427,2618,0.008733,11.93,30.619634336906756
NGC 5419,4126,0.013763,11.9,30.199517204020133
NGC 5474,262,0.000874,11.28,22.698648518838212
NGC 5488,4360,0.014543,12.72,44.05548635065535
ESO 221- G 026,1416,0.004723,12.1,33.11311214825914
NGC 5483,1771,0.005907,11.93,30.619634336906756
NGC 5493,2665,0.008889,12.27,35.80964371026355
NGC 5496,1538,0.00513,12.7,43.651583224016655
ESO 221- G 032,2911,0.00971,12.76,44.87453899331314
Circinus Galaxy,434,0.001448,12.1,33.11311214825914
NGC 5506,1824,0.006084,12.8,45.708818961487424
NGC 5529,2875,0.009591,12.9,47.863009232263806
2MASX J14160456-4807385,4170,0.01391,12.6,41.68693834703355
NGC 5533,3857,0.012866,12.7,43.651583224016655
NGC 5557,3219,0.010737,12.2,34.67368504525324
NGC 5530,1193,0.003979,11.87,29.78516429429185
NGC 5585,303,0.001011,11.2,21.877616239495563
NGC 5566,1507,0.005027,11.46,24.660393372343414
NGC 5576,1506,0.005023,11.85,29.512092266663903
NGC 5638,1676,0.005591,12.2,34.67368504525324
NGC 5678,1902,0.006344,12.6,41.68693834703355
IC 1029,2381,0.007942,13.3,57.543993733715666
NGC 5643,1199,0.003999,10.74,17.70108958317422
NGC 5676,2097,0.006994,12.3,36.3078054770101
NGC 5668,1583,0.00528,13.4,60.25595860743569
NGC 5689,2160,0.007205,12.8,45.708818961487424
NGC 5701,1505,0.00502,11.76,28.313919957993786
NGC 5688,2800,0.00934,12.3,36.3078054770101
NGC 5713,1883,0.006281,12.18,34.35579478998743
NGC 5728,2793,0.009316,12.81,45.919801283686944
NGC 5746,1728,0.005764,11.29,22.803420720004162
NGC 5750,1659,0.005535,12.6,41.68693834703355
NGC 5775,1676,0.005591,12.2,34.67368504525324
NGC 5792,1926,0.006424,12.08,32.809529311311906
NGC 5791,3350,0.011174,12.68,43.25138310350088
NGC 5796,2863,0.009549,12.7,43.651583224016655
NGC 5806,1347,0.004493,12.5,39.81071705534969
NGC 5812,1970,0.006571,12.19,34.514373933585574
NGC 5813,1956,0.006525,11.45,24.547089156850333
NGC 5831,1630,0.005438,12.4,38.018939632056124
NGC 5838,1252,0.004176,11.92,30.47894989627983
NGC 5845,1664,0.00555,13.5,63.09573444801929
NGC 5846,1712,0.005711,11.05,20.417379446695275
NGC 5866,755,0.002518,10.74,17.70108958317422
NGC 5850,2545,0.008489,12.7,43.651583224016655
NGC 5861,1851,0.006174,12.3,36.3078054770101
NGC 5864,1885,0.006288,12.77,45.081670454145915
NGC 5879,771,0.002572,12.4,38.018939632056124
NGC 5878,1991,0.006641,12.98,49.65923214503368
ESO 274- G 001,522,0.001741,11.7,27.54228703338169
NGC 5899,2590,0.008639,12.5,39.81071705534969
NGC 5885,2000,0.006671,12.5,39.81071705534969
NGC 5907:[IDD2022] X026,665,0.002218,11.12,21.086281499332888
AP Lib,14699,0.049031,15.08,130.61708881318404
NGC 5898,2122,0.007078,12.49,39.627803425544016
NGC 5903,2565,0.008556,12.2,34.67368504525324
NGC 5921,1480,0.004937,11.49,25.003453616964347
NGC 5965,3377,0.011265,11.5,25.118864315095824
NGC 5962,1958,0.006531,12.2,34.67368504525324
NGC 5964,1447,0.004827,12.6,41.68693834703355
NGC 5970,1957,0.006528,12.24,35.3183169791957
NGC 5982,3017,0.010064,12.1,33.11311214825914
NGC 5985,2522,0.008412,11.87,29.78516429429185
NGC 5987,3008,0.010034,12.72,44.05548635065535
CGCG 050-083,11980,0.039961,15.1,131.825673855641
NGC 6015,833,0.002779,11.69,27.41574171927881
IC 4585,3638,0.012135,13.01,50.35006087879047
NGC 6070,2004,0.006685,12.45,38.904514499428124
ESO 137- G 006,5444,0.018159,13.5,63.09573444801929
ESO 137- G 007,4945,0.016495,13.87,74.81695005111538
ESO 137- G 008,3839,0.012806,13.1,52.480746024977336
ESO 137- G 010,3378,0.011268,12.46,39.08408957924025
ESO 137- G 012,6330,0.021115,14.1,83.17637711026708
ESO 137- G 014,2764,0.00922,14.81,115.34532578210953
NGC 6140,908,0.003029,11.81,28.973435877013273
ESO 137- G 018,605,0.002018,12.24,35.3183169791957
NGC 6118,1573,0.005247,11.0,19.952623149688787
ESO 137- G 019,3249,0.010837,14.3,91.20108393559077
ESO 137- G 024,5264,0.017559,13.67,68.23386941416705
NGC 6181,2371,0.007909,12.49,39.627803425544016
NGC 6251,7408,0.02471,8.0,5.011872336272725
NGC 6217,1361,0.00454,11.79,28.70780582024692
NGC 6156,3263,0.010885,12.3,36.3078054770101
ESO 137- G 034,2741,0.009144,12.21,34.833731503601165
ESO 137- G 037,5430,0.018113,14.82,115.87773561551262
ESO 137- G 038,2100,0.007005,12.72,44.05548635065535
NGC 6207,852,0.002842,12.16,34.04081897010002
ESO 069- G 009,4768,0.015903,14.8,114.81536214968793
NGC 6215,1564,0.005217,12.0,31.622776601683793
NGC 6221,1499,0.004999,11.2,21.877616239495563
ESO 138- G 005,2648,0.008833,12.82,46.13175745603791
ESO 138- G 010,1144,0.003816,11.59,26.18183008218992
ESO 138- G 014,1508,0.00503,13.2,54.954087385762485
NGC 6340,1207,0.004026,11.87,29.78516429429185
NGC 6300,1109,0.003699,10.98,19.769696401118658
UGC 10814 NOTES01,7250,0.024183,15.0,125.89254117941661
NGC 6328,4325,0.014428,13.16,53.951062251512674
ESO 138-IG 029,4641,0.015481,12.75,44.668359215096345
NGC 6384,1665,0.005554,11.14,21.281390459827133
IC 4662,302,0.001007,11.7,27.54228703338169
NGC 6503,25,8.3e-05,10.91,19.142559250210823
NGC 6482,3844,0.012821,12.35,37.153522909717275
NGC 6492,4342,0.014482,12.3,36.3078054770101
NGC 6550,2208,0.007365,12.73,44.258837236262735
NGC 6574,2289,0.007635,12.83,46.34469197362874
NGC 6643,1484,0.00495,11.73,27.92543841237342
NGC 6632,4762,0.015884,12.94,48.75284901033861
IC 4704,3642,0.012148,13.17,54.20008904016238
IC 4710,739,0.002465,12.5,39.81071705534969
IC 4721,2235,0.007455,12.38,37.670379898390934
NGC 6689,489,0.001631,13.1,52.480746024977336
WISEA J184430.78+220427.4,13760,0.0459,14.6,104.71285480508985
NGC 6673,1171,0.003906,12.57,41.114972110452214
IC 4765,4507,0.015034,12.33,36.81289736425313
NGC 6703,2268,0.007565,12.32,36.643757464783334
NGC 6684,883,0.002945,11.31,23.014418174085087
IC 4797,2678,0.008933,12.3,36.3078054770101
ESO 183- G 030,2688,0.008966,12.65,42.65795188015926
NGC 6744,841,0.002805,9.14,8.472274141405963
NGC 6753,3169,0.01057,11.97,31.188895840939352
NGC 6758,3404,0.011355,12.65,42.65795188015926
IC 4831,4345,0.014494,13.6,66.06934480075964
IC 4837A,2847,0.009498,12.55,40.73802778041122
NGC 6769,3863,0.012886,12.55,40.73802778041122
NGC 6770,3841,0.012813,12.83,46.34469197362874
NGC 6776,5480,0.018279,13.05,51.28613839913638
UGC 11453,3849,0.012839,12.9,47.863009232263806
ESO 142- G 019,4390,0.014643,11.82,29.107171180666082
NGC 6814,1565,0.00522,12.06,32.50872973854347
UGC 11466,824,0.002749,12.7,43.651583224016655
NGC 6810,2031,0.006775,12.37,37.49730022454834
IC 4889,2574,0.008586,12.06,32.50872973854347
IC 4901,2138,0.007132,12.29,36.14098626396132
WISEA J195959.83+650854.7,14090,0.047,14.71,110.15393095414146
NGC 6869,2732,0.009113,13.11,52.72298614228222
IC 4931,6008,0.02004,12.96,49.20395356814511
ESO 185- G 054,4434,0.01479,11.3,22.9086765276777
NGC 6861,2829,0.009437,12.12,33.419504002611355
NGC 6861D,2633,0.008783,13.38,59.70352865838378
NGC 6868,2854,0.00952,11.66,27.039583641088406
NGC 6872,4818,0.016071,12.69,43.45102241715714
NGC 6876,4010,0.013376,12.06,32.50872973854347
IC 4991,5650,0.018846,11.56,25.822601906346012
NGC 6893,3056,0.010194,12.79,45.498806015004796
ESO 462- G 015,5738,0.01914,12.95,48.97788193684466
NGC 6902,2796,0.009326,11.64,26.791683248190314
NGC 6907,3169,0.010571,11.4,23.988329190194897
IC 5011,2325,0.007755,12.67,43.0526610491711
NGC 6925,2789,0.009303,12.07,32.6587832172336
NGC 6946,48,0.00016,8.23,5.571857489319304
NGC 6951,1424,0.00475,10.0,12.589254117941662
LQAC 311+028 001,14780,0.0493,15.1,131.825673855641
NGC 6943,3114,0.010387,12.05,32.35936569296281
NGC 6958,2713,0.00905,12.33,36.81289736425313
IC 5052,584,0.001948,11.6,26.302679918953814
ESO 107- G 004,3116,0.010394,12.1,33.11311214825914
NGC 7013,779,0.002598,12.4,38.018939632056124
UGC 11689,2895,0.009657,14.4,95.4992586021435
NGC 7029,2839,0.00947,12.35,37.153522909717275
NGC 7041,1946,0.006491,12.09,32.96097121774583
NGC 7049,2285,0.007622,11.72,27.797132677592884
IC 5105,5407,0.018036,12.62,42.07266283844437
NGC 7064,767,0.002558,13.1,52.480746024977336
NGC 7079,2684,0.008953,12.46,39.08408957924025
IC 1392,4320,0.014409,12.5,39.81071705534969
NGC 7083,3101,0.010344,11.87,29.78516429429185
NGC 7090,847,0.002825,11.33,23.227367963571048
NGC 7097,2616,0.008726,12.61,41.879356511791826
NGC 7098,2381,0.007942,12.23,35.156044052829905
NGC 7135,2644,0.008819,12.71,43.853069777498604
NGC 7095,2570,0.008573,12.23,35.156044052829905
NGC 7144,1932,0.006444,11.7,27.54228703338169
NGC 7145,1967,0.006561,12.04,32.210687912834345
UGC 11861,1478,0.00493,14.2,87.09635899560814
NGC 7166,2466,0.008226,12.85,46.77351412871982
NGC 7177,1149,0.003833,12.01,31.76874070649769
NGC 7172,2603,0.008683,12.85,46.77351412871982
NGC 7173,2497,0.008329,13.08,51.99959965335152
NGC 7174,2659,0.008869,14.23,88.30799004185641
NGC 7176,2511,0.008376,12.34,36.98281797802667
NGC 7184,2623,0.008749,12.24,35.3183169791957
IC 5152,122,0.000407,11.0,19.952623149688787
CGCG 403-019,8094,0.027,15.2,138.03842646028866
NGC 7196,2923,0.00975,12.4,38.018939632056124
UGC 11909,1105,0.003686,13.25,56.23413251903491
NGC 7192,2978,0.009934,12.19,34.514373933585574
NGC 7217,952,0.003176,11.02,20.137242498623856
UGC 11920,1103,0.003679,12.86,46.98941086052151
NGC 7205,1686,0.005623,11.55,25.703957827688594
NGC 7213,1750,0.005839,11.01,20.044720273651592
IC 5181,1987,0.006628,12.51,39.9944749761097
NGC 7232,1915,0.006388,12.95,48.97788193684466
UGC 11973,4215,0.01406,12.9,47.863009232263806
IC 5201,915,0.003052,11.3,22.9086765276777
NGC 7314,1428,0.004763,11.88,29.92264636608195
NGC 7331,816,0.002722,10.35,14.791083881682072
NGC 7332,1197,0.003993,12.02,31.915378551007585
NGC 7329,3252,0.010847,12.1,33.11311214825914
IC 5240,1765,0.005886,12.78,45.28975799036214
IC 5250A,3169,0.010571,12.21,34.833731503601165
IC 5250B,3189,0.010637,12.2,34.67368504525324
NGC 7377,3339,0.011138,12.07,32.6587832172336
WISEA J225310.75-040849.1,7585,0.025301,16.43,243.22040090738108
NGC 7410,1790,0.00597,11.61,26.42408757321945
NGC 7412,1710,0.005704,11.88,29.92264636608195
NGC 7418,1450,0.004837,12.3,36.3078054770101
IC 1459,1802,0.006011,10.97,19.67886289706843
IC 5267,1712,0.005711,11.43,24.32204009073816
NGC 7424,929,0.0031,10.96,19.58844673505989
IC 5271,1718,0.005729,12.9,47.863009232263806
IC 5273,1293,0.004312,12.22,34.994516702835696
NGC 7448,2194,0.007318,12.2,34.67368504525324
NGC 7457,844,0.002815,12.09,32.96097121774583
NGC 7456,1199,0.003999,12.78,45.28975799036214
NGC 7462,1064,0.003549,12.53,40.36453929676048
NGC 7479,2376,0.007925,11.6,26.302679918953814
NGC 7497,1708,0.005697,12.96,49.20395356814511
NGC 7496,1649,0.0055,11.91,30.338911841942657
NGC 7507,1546,0.005157,12.23,35.156044052829905
NGC 7513,1564,0.005217,11.3,22.9086765276777
NGC 7541,2692,0.00898,11.3,22.9086765276777
NGC 7531,1596,0.005324,12.04,32.210687912834345
NGC 7562,3608,0.012035,12.63,42.266861426560325
NGC 7552,1608,0.005365,11.25,22.387211385683376
NGC 7585,3539,0.011805,12.5,39.81071705534969
NGC 7582,1575,0.005254,11.37,23.659196974857565
NGC 7590,1575,0.005255,12.11,33.26595532940047
NGC 7606,2234,0.007452,12.3,36.3078054770101
NGC 7599,1651,0.005508,12.08,32.809529311311906
NGC 7619,3762,0.012549,12.1,33.11311214825914
NGC 7626,3405,0.011358,12.16,34.04081897010002
NGC 7640,369,0.001231,11.86,29.64831389524339
WISEA J232721.96+152437.3,13781,0.045967,15.2,138.03842646028866
IC 5325,1503,0.005013,11.83,29.241523778433308
IC 5328,3137,0.010464,12.34,36.98281797802667
PKS 2331-240,14300,0.0477,16.5,251.1886431509582
IC 5332,701,0.002338,11.0,19.952623149688787
NGC 7713,696,0.002322,11.6,26.302679918953814
ESO 240- G 010,3302,0.011014,12.6,41.68693834703355
ESO 240- G 011,2843,0.009483,13.2,54.954087385762485
NGC 7721,2017,0.006728,12.22,34.994516702835696
NGC 7723,1863,0.006214,11.94,30.76096814740705
NGC 7727,1795,0.005987,11.5,25.118864315095824
NGC 7741,750,0.002502,11.84,29.376496519615365
NGC 7743,1697,0.00566,12.38,37.670379898390934
NGC 7744,3098,0.010334,12.87,47.206304126358994
NGC 7755,2958,0.009867,12.56,40.926065973001094
NGC 7771,4335,0.01446,12.2,34.67368504525324
NGC 7793,227,0.000757,9.98,12.473835142429458
NGC 7796,3290,0.010974,12.46,39.08408957924025
